"","clientId","shopId","gender","maritalStatus","age","numberOfDependents","education","flagResidencialPhone","areaCodeResidencialPhone","bestPaymentDay","shopRank","residenceType","monthsInResidence","flagMothersName","flagFathersName","flagResidenceTown_WorkingTown","flagResidenceState_WorkingState","monthsInTheJob","professionCode","mateIncome","flagResidencialAddress_PostalAddress","flagOtherCard","quantityBankingAccounts","flagMobilePhone","flagContactPhone","personalNetIncome","codeApplicationBooth","BAD"
"1",2,15,"F","S",18,0,NA,"Y",31,20,0,"P",216,"Y","Y","Y","Y",12,853,0,"Y","N",0,"N","N",300,0,0
"2",4,12,"F","C",47,0,NA,"N",31,25,0,"P",180,"Y","Y","N","Y",24,35,0,"Y","N",0,"N","N",304,0,0
"3",5,16,"F","S",28,0,NA,"Y",31,25,0,"O",12,"Y","Y","Y","Y",12,24,0,"Y","N",0,"N","N",250,0,0
"4",6,24,"M","S",26,0,NA,"N",31,28,0,"P",180,"Y","Y","N","Y",0,999,0,"Y","N",0,"N","N",800,0,0
"5",7,55,"F","S",22,0,NA,"Y",31,12,0,"A",0,"Y","Y","Y","Y",48,999,0,"Y","N",0,"N","N",410,0,0
"6",8,6,"F","C",21,0,NA,"Y",23,28,0,"A",24,"Y","Y","Y","Y",12,40,800,"Y","N",0,"N","N",248,0,0
"7",9,3,"F","S",27,0,NA,"Y",31,20,0,"A",0,"Y","Y","Y","Y",0,950,0,"Y","N",0,"N","N",1000,0,1
"8",10,23,"F","C",57,0,NA,"Y",31,12,0,"P",24,"Y","Y","N","Y",96,13,0,"Y","N",0,"N","N",856,0,0
"9",11,25,"F","S",53,0,NA,"Y",31,18,0,"P",60,"Y","Y","N","Y",24,13,0,"Y","N",0,"N","N",738,0,1
"10",12,12,"F","C",32,0,NA,"Y",31,12,0,"P",24,"Y","Y","N","Y",0,165,0,"Y","N",0,"N","N",700,0,0
"11",14,24,"M","C",36,0,NA,"Y",31,12,0,"P",120,"Y","Y","Y","Y",36,15,0,"Y","N",0,"N","N",1987,0,0
